POI,LATITUDE,LONGITUDE
PARQUE_SABIA,-18.9135496,-48.2329909
BAYER,-18.9380049,-48.1721017
PRAIA_CLUBE,-18.9359797,-48.2848513
PATIO_SABIA,-18.9110084,-48.2461793
TEATRO_MUNICIPAL,-18.8963916,-48.2516646
LONDON_PUB,-18.9201549,-48.2869242
MERCADO_MUNICIPAL,-18.9209719,-48.277563
BATALHAO,-18.9155112,-48.3129718
UBERLANDIA_SHOPPING,-18.9505313,-48.2859133
GRIFF_SHOPPING,-18.9265468,-48.2633106
GRAN_EXEC_HOTEL,-18.8989565,-48.2552903
UNIUBE,-18.8807521,-48.2459738
UFU,-18.922918,-48.2468238
AEROPORTO,-18.8880848,-48.2333772
UBERBRAU,-18.8964827,-48.250821
PREFEITURA,-18.9126052,-48.2568139
ALGAR,-18.9176003,-48.2661907
CENTER_SHOPPING,-18.9184902,-48.2543862
ANFITEATRO_UFU,-18.8834933,-48.2636113
PARADISO_ECOLOGICO,-18.8819612,-48.2373383
SUPER_MAXI,-18.9200705,-48.2117642
PESQUE_PAGUE,-18.9708087,-48.2318486
MART_MINAS,-18.9221392,-48.2222747
SYNGENTA,-18.9327951,-48.1809305
IFTM,-18.9366618,-48.2855165
IBIS_HOTEL,-18.9099154,-48.2596241
EXECUTIVE_INN,-18.9021862,-48.2619297
SEST_SENAT,-18.9552032,-48.3461428
USINA_TRAT,-18.990146,-48.40734
PARQUE_AMERICAS,-18.9640097,-48.3728886
